symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
AAPL,2019-10-22 00:00:00+00:00,239.96,242.2,239.62,241.16,22684001,58.1187550046,58.66128714,58.0364063769,58.40939722,90736004,0.0,1.0
AAPL,2019-10-23 00:00:00+00:00,243.18,243.24,241.22,242.1,19932545,58.8986449493,58.91317706,58.4239293308,58.6370669554,79730180,0.0,1.0
AAPL,2019-10-24 00:00:00+00:00,243.58,244.8,241.81,244.51,17916255,58.9955256877,59.29101194,58.56682842,59.2207734046,71665020,0.0,1.0
AAPL,2019-10-25 00:00:00+00:00,246.58,246.73,242.88,243.16,18369296,59.7221312262,59.7584615031,58.8259843954,58.8938009123,73477184,0.0,1.0
AAPL,2019-10-28 00:00:00+00:00,249.05,249.25,246.72,247.42,23655368,60.3203697862,60.3688101554,59.7560394847,59.925580777,94621472,0.0,1.0
AAPL,2019-10-29 00:00:00+00:00,243.29,249.75,242.57,248.97,35709867,58.9252871523,60.4899110785,58.7509018231,60.3009936385,142839468,0.0,1.0
AAPL,2019-10-30 00:00:00+00:00,243.26,245.3,241.21,244.76,31130522,58.9180210969,59.4121128631,58.4215073123,59.2813238662,124522088,0.0,1.0
AAPL,2019-10-31 00:00:00+00:00,248.76,249.17,237.26,247.24,34790520,60.2501312508,60.3494340078,57.46481002,59.8819844447,139162080,0.0,1.0
AAPL,2019-11-01 00:00:00+00:00,255.82,255.93,249.16,249.54,37781334,61.9600762847,61.9867184878,60.3470119893,60.4390486908,151125336,0.0,1.0
AAPL,2019-11-04 00:00:00+00:00,257.5,257.85,255.38,257.33,25817952,62.3669753863,62.4517460324,61.8535074724,62.3258010724,103271808,0.0,1.0
AAPL,2019-11-05 00:00:00+00:00,257.13,258.19,256.32,257.05,19974427,62.2773607032,62.5340946601,62.0811772078,62.2579845555,79897708,0.0,1.0
AAPL,2019-11-06 00:00:00+00:00,257.24,257.49,255.37,256.77,18966124,62.3040029063,62.3645533678,61.8510854539,62.1901680386,75864496,0.0,1.0
AAPL,2019-11-07 00:00:00+00:00,259.43,260.35,258.11,258.74,23735083,63.0209203709,63.2444074261,62.7002650308,62.8533050795,94940332,0.77,1.0
