Date,Open,High,Low,Close,Adj Close,Volume
2019-06-12,1429.949951,1439.900024,1421.000000,1425.449951,1362.772339,874293
2019-06-13,1429.000000,1438.900024,1422.199951,1429.449951,1373.970093,1572720
2019-06-14,1430.000000,1431.750000,1411.000000,1412.750000,1357.918579,546091
2019-06-17,1417.000000,1425.000000,1398.900024,1401.949951,1347.537476,962166
2019-06-18,1405.000000,1410.400024,1376.050049,1380.050049,1326.487549,1177437
2019-06-19,1382.000000,1396.400024,1372.000000,1381.150024,1327.544800,692212
2019-06-20,1365.550049,1404.900024,1360.699951,1392.050049,1338.021729,991210
2019-06-21,1379.949951,1394.650024,1372.000000,1383.000000,1329.322876,1242165
2019-06-24,1386.000000,1398.000000,1368.250000,1376.150024,1322.739014,757055
2019-06-25,1371.000000,1372.449951,1360.349976,1363.099976,1310.195435,1388994
2019-06-26,1360.000000,1369.550049,1352.000000,1359.949951,1307.167603,960174
2019-06-27,1361.099976,1369.650024,1358.150024,1361.400024,1308.561279,2113899
2019-06-28,1365.000000,1371.900024,1350.099976,1358.150024,1305.437378,1131371
2019-07-01,1368.000000,1374.500000,1351.050049,1353.849976,1301.304321,739182
2019-07-02,1356.000000,1360.000000,1340.699951,1345.750000,1293.518555,1171118
2019-07-03,1356.050049,1371.000000,1349.500000,1352.000000,1299.526245,1378288
2019-07-04,1356.000000,1366.349976,1351.150024,1359.699951,1306.927368,902077
2019-07-05,1363.900024,1373.449951,1351.449951,1358.699951,1305.966187,966162
2019-07-08,1358.000000,1358.400024,1332.699951,1340.250000,1288.232178,866416
2019-07-09,1344.900024,1344.900024,1291.250000,1321.000000,1269.729370,2037332
2019-07-10,1317.800049,1340.349976,1312.050049,1322.949951,1271.603638,1115080
2019-07-11,1317.000000,1337.000000,1311.050049,1332.449951,1280.734985,757323
2019-07-12,1332.449951,1369.550049,1325.449951,1361.949951,1309.090088,1050985
2019-07-15,1362.849976,1367.000000,1347.050049,1353.150024,1300.631592,666533
2019-07-16,1352.000000,1375.000000,1345.000000,1372.300049,1319.038452,782642
2019-07-17,1377.000000,1404.849976,1375.500000,1395.900024,1341.722412,1599926
2019-07-18,1395.000000,1395.349976,1377.199951,1384.949951,1331.197266,802222
2019-07-19,1390.099976,1399.400024,1365.000000,1369.099976,1315.962646,842552
2019-07-22,1367.800049,1410.000000,1359.050049,1404.199951,1349.700317,1279369
2019-07-23,1409.000000,1443.949951,1401.849976,1429.349976,1373.874146,2262423
2019-07-24,1430.500000,1493.500000,1395.150024,1483.400024,1425.826172,7400250
2019-07-25,1481.300049,1503.849976,1459.050049,1495.849976,1437.793335,4194809
2019-07-26,1488.099976,1530.800049,1485.599976,1526.449951,1467.205322,2420636
2019-07-29,1524.900024,1538.250000,1506.599976,1513.250000,1454.517822,1634196
2019-07-30,1511.099976,1527.000000,1502.699951,1508.750000,1450.192505,1436383
2019-07-31,1507.000000,1525.000000,1495.150024,1521.099976,1462.063110,1249734
2019-08-01,1515.000000,1531.449951,1493.650024,1504.699951,1446.299438,2263295
2019-08-02,1509.000000,1550.000000,1504.500000,1545.199951,1485.227417,3044783
2019-08-05,1533.199951,1551.000000,1521.699951,1525.400024,1466.196289,1443728
2019-08-06,1530.000000,1569.849976,1524.050049,1565.849976,1505.076294,2056715
2019-08-07,1563.300049,1575.000000,1551.900024,1559.199951,1498.684448,1583322
2019-08-08,1565.750000,1569.699951,1540.300049,1565.900024,1505.124268,1579565
2019-08-09,1569.199951,1581.900024,1561.000000,1575.500000,1514.351685,1154542
2019-08-13,1573.500000,1594.000000,1568.000000,1573.349976,1512.285156,1612748
2019-08-14,1574.500000,1575.500000,1552.500000,1569.699951,1508.776733,1113095
2019-08-16,1571.000000,1600.849976,1561.000000,1597.449951,1535.449707,1682359
2019-08-19,1599.000000,1609.550049,1582.199951,1586.449951,1524.876831,1322246
2019-08-20,1585.000000,1599.500000,1582.699951,1595.150024,1533.239014,1024331
2019-08-21,1585.250000,1595.000000,1578.550049,1589.150024,1527.472046,704009
2019-08-22,1585.199951,1593.900024,1566.300049,1570.199951,1509.257324,985590
