symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
GOOG,2019-09-18 00:00:00+00:00,1232.41,1235.61,1216.53,1227.51,1144333,61.6205,61.7805,60.8265,61.3755,22886660,0.0,1.0
GOOG,2019-09-19 00:00:00+00:00,1238.71,1244.44,1232.02,1232.06,1000155,61.9355,62.222,61.601,61.603,20003100,0.0,1.0
GOOG,2019-09-20 00:00:00+00:00,1229.93,1243.32,1223.08,1233.12,2337269,61.4965,62.166,61.154,61.656,46745380,0.0,1.0
GOOG,2019-09-23 00:00:00+00:00,1234.03,1239.09,1224.17,1226.0,1075253,61.7015,61.9545,61.2085,61.3,21505060,0.0,1.0
GOOG,2019-09-24 00:00:00+00:00,1218.76,1246.74,1210.68,1240.0,1591786,60.938,62.337,60.534,62.0,31835720,0.0,1.0
GOOG,2019-09-25 00:00:00+00:00,1246.52,1248.3,1210.09,1215.82,1593875,62.326,62.415,60.5045,60.791,31877500,0.0,1.0
GOOG,2019-09-26 00:00:00+00:00,1241.39,1245.0,1232.268,1241.96,1561882,62.0695,62.25,61.6134,62.098,31237640,0.0,1.0
GOOG,2019-09-27 00:00:00+00:00,1225.09,1244.02,1214.45,1243.01,1354432,61.2545,62.201,60.7225,62.1505,27088640,0.0,1.0
GOOG,2019-09-30 00:00:00+00:00,1219.0,1226.0,1212.3,1220.97,1419676,60.95,61.3,60.615,61.0485,28393520,0.0,1.0
GOOG,2019-10-01 00:00:00+00:00,1205.1,1231.23,1203.58,1219.0,1358279,60.255,61.5615,60.179,60.95,27165580,0.0,1.0
GOOG,2019-10-02 00:00:00+00:00,1176.63,1196.98,1171.29,1196.98,1639237,58.8315,59.849,58.5645,59.849,32784740,0.0,1.0
GOOG,2019-10-03 00:00:00+00:00,1187.83,1189.06,1162.43,1180.0,1663656,59.3915,59.453,58.1215,59.0,33273120,0.0,1.0
GOOG,2019-10-04 00:00:00+00:00,1209.0,1211.44,1189.17,1191.89,1183264,60.45,60.572,59.4585,59.5945,23665280,0.0,1.0
GOOG,2019-10-07 00:00:00+00:00,1207.68,1218.204,1203.75,1204.4,867149,60.384,60.9102,60.1875,60.22,17342980,0.0,1.0
GOOG,2019-10-08 00:00:00+00:00,1189.13,1206.08,1189.01,1197.59,1141784,59.4565,60.304,59.4505,59.8795,22835680,0.0,1.0
GOOG,2019-10-09 00:00:00+00:00,1202.31,1208.35,1197.63,1199.35,876632,60.1155,60.4175,59.8815,59.9675,17532640,0.0,1.0
GOOG,2019-10-10 00:00:00+00:00,1208.67,1215.0,1197.34,1198.58,932531,60.4335,60.75,59.867,59.929,18650620,0.0,1.0
GOOG,2019-10-11 00:00:00+00:00,1215.45,1228.39,1213.74,1222.21,1277144,60.7725,61.4195,60.687,61.1105,25542880,0.0,1.0
GOOG,2019-10-14 00:00:00+00:00,1217.14,1226.33,1211.76,1212.34,882039,60.857,61.3165,60.588,60.617,17640780,0.0,1.0
GOOG,2019-10-15 00:00:00+00:00,1243.01,1247.33,1220.4,1220.4,1395259,62.1505,62.3665,61.02,61.02,27905180,0.0,1.0
GOOG,2019-10-16 00:00:00+00:00,1243.64,1254.74,1238.45,1241.17,1168174,62.182,62.737,61.9225,62.0585,23363480,0.0,1.0
GOOG,2019-10-17 00:00:00+00:00,1253.07,1263.325,1249.94,1250.93,980510,62.6535,63.16625,62.497,62.5465,19610200,0.0,1.0
GOOG,2019-10-18 00:00:00+00:00,1245.49,1258.89,1241.08,1253.46,1321924,62.2745,62.9445,62.054,62.673,26438480,0.0,1.0
GOOG,2019-10-21 00:00:00+00:00,1246.15,1254.629,1240.6,1252.26,1026750,62.3075,62.73145,62.03,62.613,20535000,0.0,1.0
GOOG,2019-10-22 00:00:00+00:00,1242.8,1250.6,1241.38,1247.85,1047851,62.14,62.53,62.069,62.3925,20957020,0.0,1.0
GOOG,2019-10-23 00:00:00+00:00,1259.13,1259.89,1242.36,1242.36,928595,62.9565,62.9945,62.118,62.118,18571900,0.0,1.0
GOOG,2019-10-24 00:00:00+00:00,1260.99,1264.0,1253.715,1260.9,1039868,63.0495,63.2,62.68575,63.045,20797360,0.0,1.0
GOOG,2019-10-25 00:00:00+00:00,1265.13,1269.6,1250.01,1251.03,1213051,63.2565,63.48,62.5005,62.5515,24261020,0.0,1.0
GOOG,2019-10-28 00:00:00+00:00,1290.0,1299.31,1272.54,1275.45,2524976,64.5,64.9655,63.627,63.7725,50499520,0.0,1.0
GOOG,2019-10-29 00:00:00+00:00,1262.62,1281.59,1257.212,1276.23,1886380,63.131,64.0795,62.8606,63.8115,37727600,0.0,1.0
GOOG,2019-10-30 00:00:00+00:00,1261.29,1269.36,1252.0,1252.97,1408851,63.0645,63.468,62.6,62.6485,28177020,0.0,1.0
GOOG,2019-10-31 00:00:00+00:00,1260.11,1267.67,1250.843,1261.28,1455651,63.0055,63.3835,62.54215,63.064,29113020,0.0,1.0
GOOG,2019-11-01 00:00:00+00:00,1273.74,1274.62,1260.5,1265.0,1670072,63.687,63.731,63.025,63.25,33401440,0.0,1.0
GOOG,2019-11-04 00:00:00+00:00,1291.37,1294.13,1276.355,1276.45,1500964,64.5685,64.7065,63.81775,63.8225,30019280,0.0,1.0
GOOG,2019-11-05 00:00:00+00:00,1292.03,1298.93,1291.229,1292.89,1282711,64.6015,64.9465,64.56145,64.6445,25654220,0.0,1.0
GOOG,2019-11-06 00:00:00+00:00,1291.8,1293.73,1282.5,1289.46,1152977,64.59,64.6865,64.125,64.473,23059540,0.0,1.0
GOOG,2019-11-07 00:00:00+00:00,1308.86,1323.74,1294.245,1294.28,2029970,65.443,66.187,64.71225,64.714,40599400,0.0,1.0
GOOG,2019-11-08 00:00:00+00:00,1311.37,1318.0,1304.365,1305.28,1251916,65.5685,65.9,65.21825,65.264,25038320,0.0,1.0
GOOG,2019-11-11 00:00:00+00:00,1299.19,1306.425,1297.41,1303.18,1012429,64.9595,65.32125,64.8705,65.159,20248580,0.0,1.0
GOOG,2019-11-12 00:00:00+00:00,1298.8,1310.0,1295.77,1300.0,1085859,64.94,65.5,64.7885,65.0,21717180,0.0,1.0
GOOG,2019-11-13 00:00:00+00:00,1298.0,1304.3,1293.51,1294.07,853861,64.9,65.215,64.6755,64.7035,17077220,0.0,1.0
GOOG,2019-11-14 00:00:00+00:00,1311.46,1317.0,1295.65,1297.5,1194305,65.573,65.85,64.7825,64.875,23886100,0.0,1.0
GOOG,2019-11-15 00:00:00+00:00,1334.87,1334.88,1314.28,1318.94,1782955,66.7435,66.744,65.714,65.947,35659100,0.0,1.0
GOOG,2019-11-18 00:00:00+00:00,1320.7,1335.529,1317.5,1332.22,1488083,66.035,66.77645,65.875,66.611,29761660,0.0,1.0
